state_name,drug_name,generic_name,bene_count,prescriber_count,total_claim_count,total_drug_cost
National Total,LIDODERM,LIDOCAINE,663018,203361,2027527,704992555
National Total,LIMBREL,BAICALIN/CATECHIN,30,31,82,9170.6
National Total,LIMBREL500,BAICALIN/CATECHIN/CITRATED ZNC,22,22,64,8363.02
National Total,LINCOCIN,LINCOMYCIN HCL,304,201,386,21757.54
National Total,LINDANE,LINDANE,5208,4285,7044,924382.94
National Total,LINZESS,LINACLOTIDE,53672,26237,140090,34339382.18
National Total,LIORESAL INTRATHECAL,BACLOFEN,147,107,478,500454.61
National Total,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,69463,38010,331862,15516907.09
National Total,LIPITOR,ATORVASTATIN CALCIUM,91492,60919,302857,84786397.45
National Total,LIPODOX,DOXORUBICIN HCL PEG-LIPOSOMAL,  ,  ,13,57557.9
National Total,LIPOFEN,FENOFIBRATE,7261,5873,27991,5083584.99
National Total,LIPTRUZET,EZETIMIBE/ATORVASTATIN CALCIUM,2071,1594,3839,909483.25
National Total,LISINOPRIL,LISINOPRIL,7006650,457683,36880274,307033173
National Total,LISINOPRIL-HYDROCHLOROTHIAZIDE,LISINOPRIL/HYDROCHLOROTHIAZIDE,1557220,247129,7501218,82057780.91
National Total,LITE TOUCH,NEEDLES INSULIN DISPOSABLE,950,840,2534,82643.36
National Total,LITE TOUCH,SYRING W-NDLDISPINSUL0.3ML,361,357,1041,26491.35
National Total,LITE TOUCH,SYRING W-NDLDISPINSUL0.5ML,1418,1306,4426,92392.22
National Total,LITE TOUCH,SYRINGE & NEEDLEINSULIN1 ML,1264,1176,4086,90262.74
National Total,LITHIUM,LITHIUM CITRATE,1478,1621,6783,268166.05
National Total,LITHIUM CARBONATE,LITHIUM CARBONATE,175481,79395,1333835,19582942.78
National Total,LITHOBID,LITHIUM CARBONATE,774,931,4894,1237678.75
National Total,LITHOSTAT,ACETOHYDROXAMIC ACID,111,113,544,58355.59
National Total,LIVALO,PITAVASTATIN CALCIUM,52066,29534,201939,39121131.53
National Total,LO LOESTRIN FE,NORETH A-ET ESTRA/FE FUMARATE,864,897,3032,311024.47
National Total,LOCOID,HYDROCORTISONE BUTYRATE,1999,1437,2601,867780.32
National Total,LOCOID LIPOCREAM,HYDROCORTISONE BUTYRATE/EMOLL,4511,3025,6034,2181600.42
National Total,LODOSYN,CARBIDOPA,4381,2990,23633,12035326.41
National Total,LOESTRIN,NORETHINDRONE A-E ESTRADIOL,25,29,99,11240.87
National Total,LOESTRIN 24 FE,NORETH A-ET ESTRA/FE FUMARATE,1350,1464,5730,585101.36
National Total,LOESTRIN FE,NORETH A-ET ESTRA/FE FUMARATE,68,75,260,27254.89
National Total,LOFIBRA,FENOFIBRATE,41,42,152,21626.8
National Total,LOFIBRA,FENOFIBRATEMICRONIZED,219,202,965,148632.74
National Total,LOKARA,DESONIDE,  ,  ,11,1151.18
National Total,LOMOTIL,DIPHENOXYLATE HCL/ATROPINE,621,677,1928,332317.49
National Total,LOMUSTINE,LOMUSTINE,42,33,80,7882.93
National Total,LOPERAMIDE,LOPERAMIDE HCL,241563,106060,520621,6821825.34
National Total,LOPID,GEMFIBROZIL,130,136,472,131728.39
National Total,LOPRESSOR,METOPROLOL TARTRATE,567,609,1292,138430.86
National Total,LOPRESSOR HCT,METOPROLOL/HYDROCHLOROTHIAZIDE,38,44,171,18418.95
National Total,LOPROX,CICLOPIROX,264,238,487,206524.68
National Total,LORAZEPAM,LORAZEPAM,2108997,375102,9720014,85691796.33
National Total,LORAZEPAM INTENSOL,LORAZEPAM,28563,15428,40775,1606863.13
National Total,LORCET 10-650,HYDROCODONE/ACETAMINOPHEN,384,439,2233,364447.17
National Total,LORCET PLUS,HYDROCODONE/ACETAMINOPHEN,181,202,908,97872.66
National Total,LORTAB,HYDROCODONE/ACETAMINOPHEN,4010,4027,16211,3231185.97
National Total,LORYNA,ETHINYL ESTRADIOL/DROSPIRENONE,594,691,2780,200517.55
National Total,LORZONE,CHLORZOXAZONE,1062,784,2223,571940.96
National Total,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,3022382,330119,15758800,311044201.7
National Total,LOSARTAN-HYDROCHLOROTHIAZIDE,LOSARTAN/HYDROCHLOROTHIAZIDE,1038604,203077,5489628,125367418
National Total,LOSEASONIQUE,L-NORGEST-ETH ESTR/ETHIN ESTRA,53,59,121,28852.24
National Total,LOTEMAX,LOTEPREDNOL ETABONATE,214660,36724,404068,64905283.02
National Total,LOTENSIN,BENAZEPRIL HCL,783,873,3775,421036.51
National Total,LOTENSIN HCT,BENAZEPRIL/HYDROCHLOROTHIAZIDE,164,172,461,36381.71
National Total,LOTREL,AMLODIPINE BESYLATE/BENAZEPRIL,4609,4932,23611,6401808.43
National Total,LOTRISONE,CLOTRIMAZOLE/BETAMETHASONE DIP,546,542,849,89161.62
National Total,LOTRONEX,ALOSETRON HCL,2367,1752,9569,14308227.57
National Total,LOVASTATIN,LOVASTATIN,1252167,218175,6431615,101546321.7
National Total,LOVAZA,OMEGA-3 ACID ETHYL ESTERS,375063,128696,2014922,453041759.3
National Total,LOVENOX,ENOXAPARIN SODIUM,22493,10029,38517,20702130.68
National Total,LOW-OGESTREL,NORGESTREL-ETHINYL ESTRADIOL,2737,3015,14528,440872.13
National Total,LOXAPINE,LOXAPINE SUCCINATE,12484,9754,103234,5075192.02
National Total,LOXITANE,LOXAPINE SUCCINATE,33,37,154,26306.54
National Total,LUCENTIS,RANIBIZUMAB,282,132,981,2314890.25
National Total,LUDENT FLUORIDE,SODIUM FLUORIDE,148,127,495,2427.78
National Total,LUER-LOK SYRINGE,SYRING W-O NDLDISPINSUL 1ML,20,21,52,1292.13
National Total,LUER-LOK SYRINGE,SYRINGE DISPOSABLE 1ML,31,32,78,402.24
National Total,LUFYLLIN,DYPHYLLINE,45,44,156,97177.08
National Total,LUMIGAN,BIMATOPROST,453106,69345,2095786,331248511.9
National Total,LUMIZYME,ALGLUCOSIDASE ALFA,13,13,242,6345571.24
National Total,LUNESTA,ESZOPICLONE,160787,102218,792733,218590917.2
National Total,LUPRON DEPOT,LEUPROLIDE ACETATE,6158,4484,19453,38275295.44
National Total,LUPRON DEPOT-PED,LEUPROLIDE ACETATE,88,87,269,637696.67
National Total,LUTERA,LEVONORGESTREL-ETH ESTRADIOL,2410,2692,11792,354104.83
National Total,LUVOX CR,FLUVOXAMINE MALEATE,2020,2022,8830,4611147.15
National Total,LUXIQ,BETAMETHASONE VALERATE,1357,1254,2342,839945.44
National Total,LYRICA,PREGABALIN,738891,241045,4111085,1073704899
National Total,LYSODREN,MITOTANE,117,140,539,438547.23
National Total,LYSTEDA,TRANEXAMIC ACID,274,274,540,99313.16
National Total,M-M-R II VACCINE,MEASLESMUMPS&RUBELLA VACC/PF,1151,868,1279,85753.06
National Total,MACROBID,NITROFURANTOIN MONOHYD/M-CRYST,602,629,1045,233647.95
National Total,MACRODANTIN,NITROFURANTOIN MACROCRYSTAL,1293,1279,4548,763995.73
National Total,MAFENIDE ACETATE,MAFENIDE ACETATE,13,15,32,21802.7
National Total,MAGELLAN INSULIN SAFETY SYRNG,SYRINGENEEDLEINSULNSAFE1ML,42,39,146,4701.53
National Total,MAGELLAN INSULIN SAFETY SYRNG,SYRINGENEEDLEINSULNSF 0.5ML,36,32,161,6092.58
National Total,MAGELLAN INSULIN SYRINGE,SYRINGENEEDLEINSULNSF0.3ML,  ,  ,17,422.74
National Total,MAGNACET,OXYCODONE HCL/ACETAMINOPHEN,27,27,135,122696.3
National Total,MAGNEBIND 400 RX,CALCIUM CARBONATE/MAG CARB/FA,17,18,62,1538.04
National Total,MAGNESIUM SULFATE,MAGNESIUM SULFATE,832,755,4674,98475.81
National Total,MAGNESIUM SULFATE-D5W,MAGNESIUM SULFATE/D5W,20,19,41,944.24
National Total,MAKENA,HYDROXYPROGESTERONE CAPROATE,142,142,324,1165923.39
National Total,MALARONE,ATOVAQUONE/PROGUANIL HCL,1050,816,1121,213182.41
National Total,MALATHION,MALATHION,2841,2587,4015,686184.15
National Total,MANNITOL,MANNITOL,34,24,75,764.6
National Total,MAPROTILINE HCL,MAPROTILINE HCL,1530,1619,7828,624474.97
National Total,MARCAINE,BUPIVACAINE HCL,81,66,168,3721.66
National Total,MARCAINE,BUPIVACAINE HCL/PF,195,142,289,5446.65
National Total,MARINOL,DRONABINOL,554,558,1687,2066920.62
National Total,MARLISSA,LEVONORGESTREL-ETH ESTRADIOL,398,407,1596,46696.38
National Total,MARPLAN,ISOCARBOXAZID,155,186,927,437054.18
National Total,MATULANE,PROCARBAZINE HCL,371,375,890,1281868.42
National Total,MATZIM LA,DILTIAZEM HCL,19555,18740,80321,11242015.89
National Total,MAVIK,TRANDOLAPRIL,281,314,1368,129576.51
National Total,MAXAIR AUTOHALER,PIRBUTEROL ACETATE,5738,5453,12925,6121762.88
National Total,MAXALT,RIZATRIPTAN BENZOATE,8401,7666,20270,8723005.04
National Total,MAXALT MLT,RIZATRIPTAN BENZOATE,8570,8150,20533,7858135.47
National Total,MAXARON FORTE,IRON GLY&FUM/C/B12/ME-THFOLATE,60,59,209,9323.2
National Total,MAXI-COMFORT,SYRING W-NDLDISPINSUL0.5ML,22,24,51,1237.21
National Total,MAXI-COMFORT,SYRINGE & NEEDLEINSULIN1 ML,19,21,50,1323.17
National Total,MAXIDEX,DEXAMETHASONE,596,428,1086,72808.74
National Total,MAXIDONE,HYDROCODONE/ACETAMINOPHEN,  ,  ,14,2571.19
National Total,MAXIPIME,CEFEPIME HCL,304,285,625,55809.55
National Total,MAXITROL,NEO/POLYMYX B SULF/DEXAMETH,307,287,408,38259.46
National Total,MAXZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,709,756,3054,423349.75
National Total,MAXZIDE-25 MG,TRIAMTERENE/HYDROCHLOROTHIAZID,1163,1217,3681,215433.86
National Total,MEBENDAZOLE,MEBENDAZOLE,954,920,1078,19864.9
National Total,MECLIZINE HCL,MECLIZINE HCL,1019415,262777,2396109,43146313.2
National Total,MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM,1146,984,3637,1197622.04
National Total,MEDROL,METHYLPREDNISOLONE,2297,2184,4584,216066.76
National Total,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,124166,75638,445913,8092516.67
National Total,MEFENAMIC ACID,MEFENAMIC ACID,398,389,754,295660.71
National Total,MEFLOQUINE HCL,MEFLOQUINE HCL,11725,7950,13712,790473.18
National Total,MEGACE,MEGESTROL ACETATE,180,176,288,50394.3
National Total,MEGACE ES,MEGESTROL ACETATE,31711,17073,67007,47857612.63
National Total,MEGESTROL ACETATE,MEGESTROL ACETATE,324697,113340,929251,37637284.29
National Total,MEKINIST,TRAMETINIB DIMETHYL SULFOXIDE,144,107,358,3098374.79
National Total,MELOXICAM,MELOXICAM,2255883,269913,7697144,65723606.11
National Total,MELQUIN HP,HYDROQUINONE,41,40,54,1925.6
National Total,MELQUIN-3,HYDROQUINONE,  ,  ,12,223.55
National Total,MENACTRA,MENING VAC ACYW-135 DIP/PF,970,622,1017,145644.79
National Total,MENEST,ESTROGENSESTERIFIED,6783,6736,32304,1751196.83
National Total,MENOMUNE-A-C-Y-W-135,MENINGOCOC VAC ACYW-135/PF,1375,887,1468,192908.88
National Total,MENOMUNE-A-C-Y-W-135,MENINGOCOCCAL VAC ACYW-135,17,15,18,6210.28
National Total,MENOSTAR,ESTRADIOL,931,822,4048,666435.36
National Total,MENTAX,BUTENAFINE HCL,2302,1941,4094,753444.13
National Total,MENVEO A-C-Y-W-135-DIP,MENING VAC ACYW-135 DIP/PF,834,318,863,111132.93
National Total,MEPERIDINE HCL,MEPERIDINE HCL,14076,11870,37002,954348.97
National Total,MEPERIDINE HCL,MEPERIDINE HCL/PF,1085,484,2161,73852.27
National Total,MEPERITAB,MEPERIDINE HCL,646,711,2285,118577
National Total,MEPHYTON,PHYTONADIONE,3867,3533,5118,483222.47
National Total,MEPROBAMATE,MEPROBAMATE,4459,4765,20703,3338461.55
National Total,MEPRON,ATOVAQUONE,7274,6243,25706,37879446.47
National Total,MERCAPTOPURINE,MERCAPTOPURINE,13310,9410,72581,6269161.71
National Total,MEROPENEM,MEROPENEM,11092,7525,37975,10762183.28
National Total,MERREM,MEROPENEM,484,443,1105,606741.27
National Total,MESALAMINE,MESALAMINE,6828,5621,16379,5559971.25
National Total,MESALAMINE,MESALAMINE W/CLEANSING WIPES,2338,2156,4323,1960837.67
National Total,MESNA,MESNA,50,44,160,20477.3
National Total,MESNEX,MESNA,266,250,629,644306.69
National Total,MESTINON,PYRIDOSTIGMINE BROMIDE,5012,4619,28490,9086111.19
National Total,METADATE CD,METHYLPHENIDATE HCL,489,587,1947,550111.5
National Total,METADATE ER,METHYLPHENIDATE HCL,1278,1300,2197,169528.81
National Total,METAFOLBIC,VIT B12/LMEFOLATE CA/VIT B6/B2,46,48,191,14669.78
National Total,METAFOLBIC PLUS,ACETYL/METHYL-B12/LMEFOLATE CA,328,285,885,77017.76
National Total,METAFOLBIC PLUS RF,LMFOL CA/ACETYL/MB12/ALGAL OIL,37,32,66,10364.46
National Total,METANX,LEVOMEFOLATE/B6/B12/ALGAL OIL,5174,4052,13141,2526395.76
National Total,METANX,METHYL-B12/L-MEFOLATE/B6 PHOS,4086,3244,7333,1059402.2
National Total,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,357,235,1098,78410.82
National Total,METAXALONE,METAXALONE,98333,61747,213850,53488970.09
National Total,METFORMIN HCL,METFORMIN HCL,4134345,357620,22041166,226623580.8
National Total,METFORMIN HCL ER,METFORMIN HCL,839165,172609,3897984,102602954.9
National Total,METHADONE HCL,METHADONE HCL,173843,80104,1447523,24583948.94
National Total,METHADONE INTENSOL,METHADONE HCL,630,735,2802,175462.78
National Total,METHADOSE,METHADONE HCL,292,331,1457,31803.33
National Total,METHAMPHETAMINE HCL,METHAMPHETAMINE HCL,446,575,2691,1819214.18
National Total,METHAZOLAMIDE,METHAZOLAMIDE,15095,7081,62417,8725115.93
National Total,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,37736,18022,194729,19854945.41
National Total,METHENAMINE MANDELATE,METHENAMINE MANDELATE,2398,1884,9503,831038.58
National Total,METHIMAZOLE,METHIMAZOLE,100078,57069,518737,8732703.86
National Total,METHITEST,METHYLTESTOSTERONE,245,259,808,424296.99
National Total,METHOCARBAMOL,METHOCARBAMOL,402772,136412,1164547,15845873.51
National Total,METHOTREXATE,METHOTREXATE SODIUM,379463,81765,2127290,137876877.6
National Total,METHOTREXATE,METHOTREXATE SODIUM/PF,854,753,1835,18906.8
National Total,METHOTREXATE SODIUM,METHOTREXATE SODIUM/PF,8168,4056,20653,317293.73
National Total,METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,6313,3330,18487,2966753.6
National Total,METHYCLOTHIAZIDE,METHYCLOTHIAZIDE,1837,1938,9485,709603.19
National Total,METHYLDOPA,METHYLDOPA,17392,14475,81197,1407345.75
National Total,METHYLDOPA-HYDROCHLOROTHIAZIDE,METHYLDOPA/HYDROCHLOROTHIAZIDE,1324,1374,7051,397958.91
National Total,METHYLENE BLUE,METHYLENE BLUE,  ,  ,24,920.72
National Total,METHYLERGONOVINE MALEATE,METHYLERGONOVINE MALEATE,1000,724,1661,749492.16
National Total,METHYLIN,METHYLPHENIDATE HCL,273,278,432,18253.3
National Total,METHYLIN ER,METHYLPHENIDATE HCL,68,71,99,3739.95
National Total,METHYLPHENIDATE ER,METHYLPHENIDATE HCL,26983,25378,142898,22913994.07
National Total,METHYLPHENIDATE HCL,METHYLPHENIDATE HCL,101482,71929,577291,26579301.32
National Total,METHYLPHENIDATE HCL CD,METHYLPHENIDATE HCL,1598,1950,6621,1472531.67
National Total,METHYLPHENIDATE LA,METHYLPHENIDATE HCL,3499,4106,14527,2678588.32
National Total,METHYLPHENIDATE SR,METHYLPHENIDATE HCL,5902,6064,18310,1294500.27
National Total,METHYLPREDNISOLONE,METHYLPREDNISOLONE,2045638,305553,2682713,66974237.41
National Total,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,6645,2336,8722,125457.57
National Total,METHYLPREDNISOLONE SOD SUCC,METHYLPREDNISOLONE SOD SUCC,3889,1998,8321,401322.48
National Total,METIPRANOLOL,METIPRANOLOL,1806,1698,8272,292209.36
National Total,METOCLOPRAMIDE HCL,METOCLOPRAMIDE HCL,549663,197601,1719237,15425444.96
National Total,METOLAZONE,METOLAZONE,282297,119492,1028524,23761437.54
National Total,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,3000363,348744,16343367,689829327.4
National Total,METOPROLOL TARTRATE,METOPROLOL TARTRATE,3900221,405902,21035020,162047498.9
National Total,METOPROLOL-HYDROCHLOROTHIAZIDE,METOPROLOL/HYDROCHLOROTHIAZIDE,15740,14775,80257,5115154
National Total,METOZOLV ODT,METOCLOPRAMIDE HCL,217,194,511,113564.63
National Total,METRO IV,METRONIDAZOLE/SODIUM CHLORIDE,228,209,544,15042.3
National Total,METROCREAM,METRONIDAZOLE,231,231,381,182892.95
National Total,METROGEL,METRONIDAZOLE,36580,23296,48722,13095215.83
National Total,METROGEL-VAGINAL,METRONIDAZOLE,88,87,104,4947.02
National Total,METROLOTION,METRONIDAZOLE,93,88,151,79413.73
National Total,METRONIDAZOLE,METRONIDAZOLE,1328653,380413,1861649,80394852.04
National Total,METRONIDAZOLE,METRONIDAZOLE/SODIUM CHLORIDE,1875,1571,4410,93115.14
National Total,MEVACOR,LOVASTATIN,88,92,190,34545.74
National Total,MEXILETINE HCL,MEXILETINE HCL,10815,9856,52559,3109711.99
National Total,MI-OMEGA NF,OM-3/DHA/EPA/B12/FA/B6/PHYTOST,21,21,56,2518.39
National Total,MIACALCIN,CALCITONINSALMONSYNTHETIC,1660,1669,6791,1666740.08
National Total,MICARDIS,TELMISARTAN,94623,63773,510747,105216625.5
National Total,MICARDIS HCT,TELMISARTAN/HYDROCHLOROTHIAZID,60102,43993,338933,69464350.57
National Total,MICONAZOLE 3,MICONAZOLE NITRATE,1584,1493,1862,90068.21
National Total,MICRO-K,POTASSIUM CHLORIDE,63,64,149,7556.8
National Total,MICROGESTIN,NORETHINDRONE A-E ESTRADIOL,2635,2836,12076,385803.64
National Total,MICROGESTIN FE,NORETH A-ET ESTRA/FE FUMARATE,5931,6138,26835,778982.7
National Total,MICROZIDE,HYDROCHLOROTHIAZIDE,188,198,793,46519.54
National Total,MIDAZOLAM HCL,MIDAZOLAM HCL,3901,347,4598,42244.09
National Total,MIDAZOLAM HCL,MIDAZOLAM HCL/PF,3772,291,4031,16167.34
National Total,MIDODRINE HCL,MIDODRINE HCL,89120,63087,418185,34423202.81
National Total,MIGERGOT,ERGOTAMINE TARTRATE/CAFFEINE,482,543,2362,1341345.36
National Total,MIGRANAL,DIHYDROERGOTAMINE MESYLATE,1356,1187,3301,4854621.92
National Total,MILLIPRED,PREDNISOLONE,941,865,2371,416276.15
National Total,MILLIPRED,PREDNISOLONE SOD PHOSPHATE,54,29,62,5807.18
National Total,MILLIPRED DP,PREDNISOLONE,208,139,239,22964.92
National Total,MILRINONE IN 5% DEXTROSE,MILRINONE LACTATE/D5W,16,13,73,47069.42
National Total,MILRINONE LACTATE,MILRINONE LACTATE,127,125,1875,1382859.5
National Total,MIMVEY,ESTRADIOL/NORETHINDRONE ACET,4124,3773,16051,1758867.8
National Total,MINASTRIN 24 FE,NORETH A-ET ESTRA/FE FUMARATE,410,420,1060,114087.52
National Total,MINI ULTRA-THIN II,NEEDLES INSULIN DISPOSABLE,681,648,1413,44093.82
National Total,MINIPRESS,PRAZOSIN HCL,76,80,321,59236.81
National Total,MINITRAN,NITROGLYCERIN,2908,2774,8250,393670.3
National Total,MINIVELLE,ESTRADIOL,4471,3081,12126,1161057.11
National Total,MINOCIN,MINOCYCLINE HCL,89,92,309,179397.34
National Total,MINOCIN,MINOCYCLINE HCL/SKIN CL NO.4,  ,  ,13,9237.13
National Total,MINOCYCLINE HCL,MINOCYCLINE HCL,208877,78165,498667,12598585.72
National Total,MINOXIDIL,MINOXIDIL,62145,42287,314317,8694722.06
National Total,MIRAPEX,PRAMIPEXOLE DI-HCL,1906,2092,9273,4166682.91
National Total,MIRAPEX ER,PRAMIPEXOLE DI-HCL,5173,4090,26683,15978662.55
National Total,MIRCETTE,DESOG-E.ESTRADIOL/E.ESTRADIOL,15,15,88,11896.72
National Total,MIRENA,LEVONORGESTREL,185,172,186,136105.01
National Total,MIRTAZAPINE,MIRTAZAPINE,929338,220805,5370290,85724361.09
National Total,MIRVASO,BRIMONIDINE TARTRATE,869,784,979,260944.01
National Total,MISOPROSTOL,MISOPROSTOL,47265,29962,161165,10577822.68
National Total,MITOMYCIN,MITOMYCIN,151,115,274,170865.38
National Total,MITOXANTRONE HCL,MITOXANTRONE HCL,11,  ,22,5543.82
National Total,MOBIC,MELOXICAM,1355,1477,4806,1628387.23
National Total,MODAFINIL,MODAFINIL,52551,40276,259998,237692936.1
National Total,MOEXIPRIL HCL,MOEXIPRIL HCL,13467,12896,77851,3296382.2
National Total,MOEXIPRIL-HYDROCHLOROTHIAZIDE,MOEXIPRIL/HYDROCHLOROTHIAZIDE,11681,10430,66170,2811188.46
National Total,MOMETASONE FUROATE,MOMETASONE FUROATE,258037,76663,416538,11688026.32
National Total,MONO-LINYAH,NORGESTIMATE-ETHINYL ESTRADIOL,795,839,3054,72167
National Total,MONODOX,DOXYCYCLINE MONOHYDRATE,247,212,392,232801.14
National Total,MONOJECT,SYRING W-NDLDISPINSUL0.5ML,50,45,77,1080.71
National Total,MONOJECT INSULIN SAFETY SYRNG,SYRINGE W-NDL DISP. INSULIN,5029,3158,25557,915064.66
National Total,MONOJECT INSULIN SYRINGE,SYRING W-NDLDISPINSUL0.3ML,1869,1539,5476,139434.34
National Total,MONOJECT INSULIN SYRINGE,SYRING W-NDLDISPINSUL0.5ML,14116,9995,56155,1515213.18
National Total,MONOJECT INSULIN SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,6508,5160,20029,295870.95
National Total,MONONESSA,NORGESTIMATE-ETHINYL ESTRADIOL,3721,3914,14804,398531.35
National Total,MONTELUKAST SODIUM,MONTELUKAST SODIUM,1276277,250337,6427752,288538110.8
National Total,MONUROL,FOSFOMYCIN TROMETHAMINE,10355,7936,17032,2364167.63
National Total,MORGIDOX,DOXYCYCLINE HYCLATE,94,88,127,13889.47
National Total,MORGIDOX,DOXYCYCLINE/SKIN CLEANSER #19,14,13,21,7631.53
National Total,MORPHINE SULFATE,MORPHINE SULFATE,271329,116006,907614,20559290.71
National Total,MORPHINE SULFATE,MORPHINE SULFATE/PF,25,28,43,4406
National Total,MORPHINE SULFATE ER,MORPHINE SULFATE,441778,158917,3054627,192715998.6
National Total,MOTOFEN,DIFENOXIN HCL/ATROPINE SULFATE,95,98,289,144821.62
National Total,MOVIPREP,PEG3350/SOD SUL/NACL/ASB/C/KCL,280168,16273,286536,20491622.15
National Total,MOXATAG,AMOXICILLIN,76,67,117,28363.41
National Total,MOXEZA,MOXIFLOXACIN HCL,12144,5405,15405,1466101.45
National Total,MOZOBIL,PLERIXAFOR,86,42,104,1730535.3
National Total,MS CONTIN,MORPHINE SULFATE,722,981,4955,3952685.22
National Total,MULTAQ,DRONEDARONE HCL,86776,42205,478543,190601877.6
National Total,MULTI-VITAMIN WITH FLUORIDE,PEDI M.VIT NO.17 WITH FLUORIDE,62,61,184,2153.14
National Total,MULTIGEN,IRON AG/C/B12/CA/SUC.ACID/STOM,460,429,1905,104965.25
National Total,MULTIGEN FOLIC,IRON ASPGLY/C/B12/FA/CA-TH/SUC,71,71,275,17787.69
National Total,MULTIGEN PLUS,IRON FUM & AG/C/B12/FA/CA/SUCC,319,304,1267,77380.24
National Total,MULTIVITAMIN WITH FLUORIDE,PEDI M.VIT NO.17 WITH FLUORIDE,88,88,184,2138.4
National Total,MULTIVITAMINS W-FLUORIDE-IRON,MULTIVITS WITH IRON & FLUORIDE,12,12,41,892.91
National Total,MULTIVITAMINS WITH FLUORIDE,MULTIVITAMINS WITH FLUORIDE,27,32,63,1022.94
National Total,MULTIVITAMINS WITH FLUORIDE,PEDI M.VIT NO.17 WITH FLUORIDE,223,222,814,8801.18
National Total,MULTIVITAMINS WITH FLUORIDE,PEDI MVI NO.16 WITH FLUORIDE,11,12,35,339.86
National Total,MUPIROCIN,MUPIROCIN,1185644,237769,1808358,28237345.3
National Total,MUPIROCIN,MUPIROCIN CALCIUM,99787,57487,135268,11430864.8
National Total,MUSE,ALPROSTADIL,233,223,530,184431.97
National Total,MUSTARGEN,MECHLORETHAMINE HCL,56,46,92,75081.03
National Total,MVC-FLUORIDE,PEDI MVI NO.12/SODIUM FLUORIDE,13,14,31,464.82
National Total,MY WAY,LEVONORGESTREL,144,152,190,5792.03
National Total,MYAMBUTOL,ETHAMBUTOL HCL,130,138,361,28874.43
National Total,MYCAMINE,MICAFUNGIN SODIUM,1194,1166,4166,4508681.88
National Total,MYCOBUTIN,RIFABUTIN,2021,1881,6794,4752525.2
National Total,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,42089,24749,231631,29179979.28
National Total,MYDRIACYL,TROPICAMIDE,34,25,52,2517.4
National Total,MYFORTIC,MYCOPHENOLATE SODIUM,3994,2936,23385,19360062.07
National Total,MYLERAN,BUSULFAN,17,19,63,24779.38
National Total,MYORISAN,ISOTRETINOIN,347,370,871,348760.12
National Total,MYRBETRIQ,MIRABEGRON,66446,22480,199362,53984277.95
National Total,MYSOLINE,PRIMIDONE,901,1045,6145,4582764.42
National Total,MYZILRA,LEVONORGESTREL-ETH ESTRADIOL,317,351,1866,45935.61
National Total,NABI-HB,HEPATITIS B IMMUNE GLOBULIN,31,30,144,294685.62
National Total,NABUMETONE,NABUMETONE,357041,98424,1098464,30682503.16
National Total,NADOLOL,NADOLOL,111387,80490,575882,52083389.19
National Total,NADOLOL-BENDROFLUMETHIAZIDE,NADOLOL/BENDROFLUMETHIAZIDE,598,644,2837,296370.23
National Total,NAFCILLIN,NAFCILLIN IN DEXTROSEISO-OSM,241,234,868,704692.1
National Total,NAFCILLIN SODIUM,NAFCILLIN SODIUM,1481,1326,6046,4774681.13
National Total,NAFTIN,NAFTIFINE HCL,32340,14463,59053,18510489.74
National Total,NAGLAZYME,GALSULFASE,  ,  ,139,6499449.32
National Total,NALBUPHINE HCL,NALBUPHINE HCL,354,378,3686,560205.56
National Total,NALFON,FENOPROFEN CALCIUM,289,252,584,104444.18
National Total,NALOXONE HCL,NALOXONE HCL,5486,705,6050,247612.03
National Total,NALTREXONE HCL,NALTREXONE HCL,16742,12897,76725,4606102.97
National Total,NAMENDA,MEMANTINE HCL,798714,176825,6878399,1564775426
National Total,NAMENDA XR,MEMANTINE HCL,63483,24144,208976,46356482.26
National Total,NAPHAZOLINE HCL,NAPHAZOLINE HCL,23321,3844,60902,395395.83
National Total,NAPRELAN,NAPROXEN SODIUM,3978,2914,9074,4164415.61
National Total,NAPROSYN,NAPROXEN,447,460,1006,172858.57
National Total,NAPROXEN,NAPROXEN,1393235,299780,3497859,30703709.63
National Total,NAPROXEN SODIUM,NAPROXEN SODIUM,119899,43263,229087,3015212.24
National Total,NARATRIPTAN HCL,NARATRIPTAN HCL,10105,8651,38119,3203057.87
National Total,NARDIL,PHENELZINE SULFATE,358,437,2354,341127.75
National Total,NAROPIN,ROPIVACAINE HCL/PF,11,  ,16,3089.1
National Total,NASACORT AQ,TRIAMCINOLONE ACETONIDE,2195,2240,6306,968856.94
National Total,NASCOBAL,CYANOCOBALAMIN (VITAMIN B-12),793,750,2104,1196048.42
